NAME,PER,MASS,SEP,DIST,MSTAR,RSTAR,TEFF,FE
Kepler-634 b,5.16950177,0.0139495,0.0590906,757,1.03,1.24,6075,-0.18
Kepler-881 b,4.44448017,0.0131362,0.0539414,1364,1.06,1.09,5961,0
Kepler-103 c,179.612,0.0877632,0.64119,,1.09,1.44,5845,0.07
Kepler-997 b,2.70730672,0.00842926,0.0406211,470,1.22,1.56,6150,0.05
Kepler-1503 b,96.16987,0.0172355,0.376527,850,0.77,0.74,5069,-0.19
HD 100655 b,157.57,1.33352,0.682908,122.249,1.71,9.3,4801,-0.02
Kepler-400 b,9.024389,0.0122424,0.0848304,,,1.145,5886,
Kepler-106 c,13.5708,0.0328478,0.111348,,1,1.04,5858,-0.12
Kepler-113 b,4.754,0.013404,0.0502736,,0.75,0.69,4725,0.05
Kepler-1178 b,31.80634,0.00364938,0.182381,336,0.8,0.75,4990,-0.05
Kepler-595 b,25.30292332,0.0457295,0.161025,639,0.87,0.83,5247,0.08
HD 142415 b,386.29999,1.66194,1.06061,34.2349,1.065,1.11902,5901.98,0.0880335
Kepler-1359 b,59.4970952,0.0240196,0.274559,669,0.78,0.72,4709,0.11
Kepler-785 b,1.97376093,1,0.0282249,666,0.77,0.71,4739,-0.02
CoRoT-9 b,95.2738,0.843564,0.406991,459.982,0.99,0.94,5625,-0.01
HD 114386 b,937.70001,1.3637,1.72685,28.8934,0.78,0.637212,4819.64,0.00374012
HD 103197 b,47.84,0.0982431,0.249018,53.135,0.9,1.01561,5303,0.21
Kepler-698 b,16.32976218,0.0418568,0.123396,1135,0.94,0.91,5612,-0.03
Kepler-1022 b,10.99469878,0.0181548,0.0863273,455,0.71,0.68,4445,0.06
7 CMa b,763,2.43233,1.80264,19.7511,1.34,2.3,4761,0.21
K2-3 b,10.05403,0.0163773,0.0769351,45,0.601,0.561,3896,-0.32
Kepler-368 b,26.84768,0.0318107,0.175473,,,2.019,5502,
Kepler-913 b,10.29672521,0.015288,0.0794059,597,0.63,0.61,4687,-0.52
Kepler-1224 b,13.32351601,0.00796813,0.116229,578,1.18,1.22,6155,0.14
Kepler-335 b,6.562331,0.0346488,0.0685981,,,1.854,5877,
WASP-16 b,3.1186009,0.842294,0.0417858,,1,0.946,5700,0.01
Kepler-316 b,2.240508,0.00359062,0.0335097,,,0.52,4204,
HD 152581 b,689,1.51375,1.48938,186,0.927,3.809,5155,-0.46
KIC 11442793 h,331.60059,0.937417,0.996347,780,1.2,1.2,6080,-0.12
Kepler-103 b,15.9654,0.0305195,0.127704,,1.09,1.44,5845,0.07
Kepler-1426 b,14.2563227,0.0116544,0.115827,1211,1.02,1.02,5831,0.03
Kepler-993 b,22.08557563,0.0263549,0.127733,298,0.57,0.54,3843,0.03
Kepler-338 b,13.726976,0.0189734,0.112199,,,1.735,5923,
Kepler-1588 b,7.84931739,0.00111394,0.0762521,658,0.96,0.99,5817,-0.14
Kepler-985 b,116.331901,0.0265453,0.451946,741,0.91,0.85,5434,0
Kepler-974 b,4.19449651,0.0117248,0.0409318,121,0.52,0.5,3687,0.07
Kepler-1248 b,7.46725407,0.00518721,0.0796726,540,1.21,1.21,6149,0.24
Kepler-129 b,15.79186,0.0182069,0.123186,,,1.641,5770,
Kepler-1331 b,0.78916165,0.00351465,0.0149794,365,0.72,0.69,4508,0.05
PH-1 b,138.506,0.100437,0.629412,1500,1.734,1.759,6407,0.21
Kepler-306 d,17.326644,0.019315,0.131044,,,0.719,4954,
Kepler-37 d,39.792187,0.00577478,0.212021,66,0.803,0.77,5417,-0.32
Kepler-856 b,8.02768059,0.564251,0.0774029,1175,0.96,0.93,5535,0.12
HD 13908 c,931,5.13,2.03386,71.2,1.29,1.67,6255,0.01
HD 125595 b,9.6737,0.0416764,0.0809437,27.9564,0.756,1.03336,4908,0.02
Kepler-1499 b,44.2008,0.0053608,0.228998,310,0.82,0.78,5097,-0.01
WASP-79 b,3.6623817,0.887514,0.0534741,240,1.52,1.64,6600,0.03
Kepler-1470 b,16.2950903,0.00364938,0.116773,569,0.8,0.76,4961,-0.01
Kepler-107 b,3.179997,0.0116666,0.0423212,,,1.411,5851,
Kepler-1040 b,201.1214,0.0154788,0.667299,473,0.98,0.96,5694,0.01
Kepler-1542 c,2.89223021,0.000639382,0.0389169,336,0.94,0.99,5564,0.06
Kepler-109 c,21.2227,0.0199023,0.151991,,1.04,1.32,5952,-0.08
HIP 57274 c,32.03,0.410096,0.177758,25.9202,0.73,0.68,4640,0.09
Kepler-30 d,143.343,0.0726872,0.534239,,0.99,0.95,5498,0.18
Kepler-1349 b,2.12823928,0.000806332,0.034023,260,1.16,1.28,6086,0.03
Kepler-877 b,18.45847097,0.0157709,0.129482,572,0.85,0.81,5261,-0.06
Kepler-720 b,4.70832654,0.381266,0.0540454,880,0.95,0.92,5618,0
Kepler-932 b,1.9214374,0.00866602,0.0288756,478,0.87,0.84,5331,-0.01
Kepler-1628 b,76.378033,0.112141,0.288651,352,0.55,0.52,3724,0.17
Kepler-158 c,28.551383,0.0139923,0.18282,,,0.624,4623,
Kepler-858 b,76.13602028,0.0783692,0.346809,296,0.96,0.91,5653,-0.04
Kepler-777 b,5.72812599,0.0109866,0.0522506,383,0.58,0.56,4043,-0.17
HD 93083 b,143.58,0.368176,0.476549,27.8552,0.7,1.14863,4995,0.15
Kepler-970 b,16.73652231,0.0231879,0.113697,350,0.7,0.67,4511,-0.08
HD 31253 b,466,0.501427,1.26054,50.3018,1.23,1.64612,5960,0.16
